,번호,보관소명,자치구,상세주소,위도,경도,설치시기,거치대수(LCD),거치대수(QR),운영방식
856,1601, 석계역 문화광장 내 자전거 보관소,노원구,서울특별시 노원구 화랑로 331,37.61518097,127.0646439,2021-06-17,,10,QR
857,1602, 광운대역 앞,노원구,서울특별시 노원구 석계로 98-2 노원구 월계동 412-1,37.62266159,127.0618973,2017-06-27,13,,LCD
858,1605, 헬스케어,노원구,서울특별시 노원구 월계로 378 노원구 월계동 321-4,37.63162231,127.061615,2017-06-22,10,,LCD
859,1606, 태릉입구역 3번출구,노원구,서울특별시 노원구 동일로 지하 992-1 노원구 공릉동 616-4,37.61917114,127.0749283,2017-05-08,10,,LCD
860,1608, 공릉역 1번 출구 앞,노원구,서울특별시 노원구 동일로 지하 1074 노원구 공릉동 385-4,37.62661362,127.0727539,2017-05-26,10,,LCD
861,1610, 화랑대역 2번출구 앞,노원구,서울특별시 노원구 화랑로 지하 510 노원구 공릉동 280-12,37.62036896,127.0836411,2017-05-08,20,,LCD
862,1611, 과기대 입구(우),노원구,서울특별시 노원구 공릉로 232 노원구 공릉동 436-4,37.62994003,127.0765533,2017-05-08,20,,LCD
863,1616, 하계2동 공항버스정류장 옆,노원구,서울특별시 노원구 동일로 지하 1196 노원구 하계동 273-5,37.63510895,127.0683289,2017-05-08,10,,LCD
864,1617, 하계동 중평어린이공원 앞,노원구,서울특별시 노원구 섬밭로 241 하계동 271-1,37.63714981,127.0632706,2017-05-08,20,,LCD
865,1619, 중계동 하나프라자빌딩 앞(중1-1),노원구,서울특별시 노원구 한글비석로 235 노원구 중계동 391,37.64902115,127.0764084,2017-05-26,10,,LCD
866,1620, 중계동 노원구민체육센터 옆(중1-2),노원구,서울특별시 노원구 노원로22길 1 노원구 중계1동 360-18,37.64820862,127.070221,2017-06-22,10,,LCD
867,1625,상계역 3번출구,노원구,서울특별시 노원구 상계로 182 노원구 상계동 173-19,37.65999985,127.0729675,2017-06-27,20,,LCD
868,1627, 수락산역 4번출구,노원구,서울특별시 노원구 동일로 지하 1662 노원구 상계동 1263,37.67694092,127.0550995,2017-06-27,13,12,QR
