No,카페이름,상세주소,주소,위도,경도
0,역마차커피숍,인천광역시 중구 인현동 1,인천광역시 중구 인현동 1,37.47503,126.63179
1,카페미투,인천광역시 중구 북성동1가 98-339,인천광역시 중구 북성동1가 98-339,0.0,0.0
2,커피올레,인천광역시 중구 항동7가 60,인천광역시 중구 항동7가 60,37.45443,126.61033
3,동인천커피숍,인천광역시 중구 인현동 22-36,인천광역시 중구 인현동 22-36,37.47503,126.63179
4,스타벅스인천공항랜드점,인천광역시 중구 운서동 2851,인천광역시 중구 운서동 2851,37.48447,126.48626
5,카페 잔피,인천광역시 중구 송학동2가 1-3,인천광역시 중구 송학동2가 1-3,37.4739832,126.62451
6,카페오라,인천광역시 중구 을왕동 773-61,인천광역시 중구 을왕동 773-61,37.45259,126.38318
7,까로치아,인천광역시 중구 운서동 2851,인천광역시 중구 운서동 2851,37.48447,126.48626
8,인천브릿지 커피,인천광역시 중구 운남동 1113-70,인천광역시 중구 운남동 1113-70,37.4882202,126.5334971
9,담쟁이넝쿨,인천광역시 중구 송학동1가 9,인천광역시 중구 송학동1가 9,37.4749,126.62252
10,탐앤탐스,인천광역시 중구 내동 101,인천광역시 중구 내동 101,37.47342,126.62744
11,영종도 박양우 커피집(Yeongjongdo Park's coffee House),인천광역시 중구 운서동 3060-31,인천광역시 중구 운서동 3060-31,37.48447,126.48626
12,이디야,인천광역시 중구 신생동 38,인천광역시 중구 신생동 38,37.4696597,126.6266658
13,파스쿠찌(신포로데오점),인천광역시 중구 내동 98-4,인천광역시 중구 내동 98-4,37.47342,126.62744
14,케빈커피숍,인천광역시 중구 북성동3가 3-36,인천광역시 중구 북성동3가 3-36,37.47616,126.62091
15,아미가,인천광역시 중구 송학동2가 1-9,인천광역시 중구 송학동2가 1-9,37.4739832,126.62451
16,웨이루 쿼쿠이 인천차이나타운점,인천광역시 중구 북성동2가 10-6,인천광역시 중구 북성동2가 10-6,37.4771996,126.6187996
17,띠아모 경동점,인천광역시 중구 경동 239-13,인천광역시 중구 경동 239-13,37.47209,126.63188
18,카페엔느,인천광역시 중구 항동7가 58-1,인천광역시 중구 항동7가 58-1,37.45443,126.61033
19,커피스카이존(coffee sky zone),인천광역시 중구 운서동 2165-160,인천광역시 중구 운서동 2165-160,37.48447,126.48626
20,애니 데이,인천광역시 중구 율목동 1-33,인천광역시 중구 율목동 1-33,37.47009345,126.635044392266
21,베네 동인천역점,인천광역시 중구 인현동 29-28,인천광역시 중구 인현동 29-28,37.47503,126.63179
22,커피생각,인천광역시 중구 경동 214-3,인천광역시 중구 경동 214-3,37.47209,126.63188
23,카페팟알,인천광역시 중구 관동1가 17,인천광역시 중구 관동1가 17,37.4737356,126.6215448513303
24,더벤티(the venti),인천광역시 중구 운서동 2851-20,인천광역시 중구 운서동 2851-20,37.4537,126.4502667
25,올렌스,인천광역시 중구 내동 215-10,인천광역시 중구 내동 215-10,37.47342,126.62744
26,공익까페파구스,인천광역시 중구 내동 166,인천광역시 중구 내동 166,37.47342,126.62744
27,빨강지붕,인천광역시 중구 을왕동 912-22,인천광역시 중구 을왕동 912-22,37.45259,126.38318
28,커피포트,인천광역시 중구 운서동 2850,인천광역시 중구 운서동 2850,37.48447,126.48626
29,싸리재,인천광역시 중구 경동 169,인천광역시 중구 경동 169,37.47209,126.63188
30,이디야커피(동인천점),인천광역시 중구 인현동 58-1,인천광역시 중구 인현동 58-1,37.47503,126.63179
31,동화마을(cafe),인천광역시 중구 송월동3가 11-80,인천광역시 중구 송월동3가 11-80,37.47816,126.62113
32,이디야 인천차이나타운점,인천광역시 중구 북성동2가 11-6,인천광역시 중구 북성동2가 11-6,37.4771996,126.6187996
33,이디야커피 인천운서점,인천광역시 중구 운서동 2888-5,인천광역시 중구 운서동 2888-5,37.48447,126.48626
34,이디야,인천광역시 중구 운남동 123-1,인천광역시 중구 운남동 123-1,37.4882202,126.5334971
35,투썸플레이스인천영종도점,인천광역시 중구 중산동 1882-12,인천광역시 중구 중산동 1882-12,37.49627,126.5583
36,우리동네,인천광역시 중구 항동7가 27-119,인천광역시 중구 항동7가 27-119,37.45443,126.61033
37,카페오즈,인천광역시 중구 송월동3가 11-93,인천광역시 중구 송월동3가 11-93,37.47816,126.62113
38,갤러리카페59,인천광역시 중구 송학동2가 6-1,인천광역시 중구 송학동2가 6-1,37.4739832,126.62451
39,콜라보,인천광역시 중구 운서동 2798-4,인천광역시 중구 운서동 2798-4,37.48447,126.48626
40,추억의 박물관,인천광역시 중구 북성동1가 98-577,인천광역시 중구 북성동1가 98-577,0.0,0.0
41,크리스피크림인천공항1층점,인천광역시 중구 운서동 2851,인천광역시 중구 운서동 2851,37.48447,126.48626
42,이디야 공항신도시점,인천광역시 중구 운서동 2795-2,인천광역시 중구 운서동 2795-2,37.48447,126.48626
43,엔제리너스인천공항 A/S 서편점,인천광역시 중구 운서동 2851,인천광역시 중구 운서동 2851,37.48447,126.48626
44,AMAAMA(아마아마),인천광역시 중구 전동 19-11,인천광역시 중구 전동 19-11,37.47711,126.62651
45,(주)커피빈코리아 인천공항탑승동 105GATE앞점,인천광역시 중구 운서동 2851,인천광역시 중구 운서동 2851,37.48447,126.48626
46,(주)커피빈코리아 인천공항 탑승동 130GATE앞점,인천광역시 중구 운서동 2851,인천광역시 중구 운서동 2851,37.48447,126.48626
47,공차,인천광역시 중구 관동3가 1-4,인천광역시 중구 관동3가 1-4,37.47207625,126.62477085302109
48,카페쉐어링(영종도점),인천광역시 중구 운서동 2091-104,인천광역시 중구 운서동 2091-104,37.4588028,126.4487361
49,엔제리너스 인천공항 A/S 동편점,인천광역시 중구 운서동 2851,인천광역시 중구 운서동 2851,37.48447,126.48626
50,쏘쿨에이드앤티,인천광역시 중구 북성동2가 9-60,인천광역시 중구 북성동2가 9-60,37.4771996,126.6187996
51,카페라브리,인천광역시 중구 송월동3가 3-6,인천광역시 중구 송월동3가 3-6,37.47816,126.62113
52,coffee MUG,인천광역시 중구 답동 24-3,인천광역시 중구 답동 24-3,37.46947,126.62895
53,소소,인천광역시 중구 항동7가 82-7,인천광역시 중구 항동7가 82-7,37.45443,126.61033
54,빽다방 인천차이나타운점,인천광역시 중구 북성동2가 8-25,인천광역시 중구 북성동2가 8-25,37.4771996,126.6187996
55,이디야커피 인천공항 아이비씨점,인천광역시 중구 운서동 2850-6,인천광역시 중구 운서동 2850-6,37.48447,126.48626
56,동빵,인천광역시 중구 신포동 7-24,인천광역시 중구 신포동 7-24,37.467314099999996,126.62087413613884
57,nos(노스),인천광역시 중구 항동7가 88,인천광역시 중구 항동7가 88,37.45443,126.61033
58,블루밍카페,인천광역시 중구 전동 12-4,인천광역시 중구 전동 12-4,37.47711,126.62651
59,스타벅스 인천공항중앙점,인천광역시 중구 운서동 2840,인천광역시 중구 운서동 2840,37.48447,126.48626
60,(주)달콤커피 백년탑주유소점,인천광역시 중구 항동7가 57-13,인천광역시 중구 항동7가 57-13,37.45443,126.61033
61,주옥,인천광역시 중구 전동 13-6,인천광역시 중구 전동 13-6,37.47711,126.62651
62,셀렉토 커피 인천공항 IBC점,인천광역시 중구 운서동 2850-5,인천광역시 중구 운서동 2850-5,37.48447,126.48626
63,관동오리진,인천광역시 중구 관동1가 14-3,인천광역시 중구 관동1가 14-3,37.4737356,126.6215448513303
64,카페 테이블 홍예,인천광역시 중구 송학동3가 7-11,인천광역시 중구 송학동3가 7-11,37.47338,126.62572
65,꿈꾸는뿔인형극카페&갤러리,인천광역시 중구 송월동3가 10-6,인천광역시 중구 송월동3가 10-6,37.47816,126.62113
66,도도(빙수&커피),인천광역시 중구 인현동 22-39,인천광역시 중구 인현동 22-39,37.47503,126.63179
67,홍루이젠,인천광역시 중구 인현동 1-19,인천광역시 중구 인현동 1-19,37.47503,126.63179
68,그리다썸,인천광역시 중구 을왕동 689-1,인천광역시 중구 을왕동 689-1,37.45259,126.38318
69,아미가Ⅱ,인천광역시 중구 송학동2가 1-9,인천광역시 중구 송학동2가 1-9,37.4739832,126.62451
70,도라미상점,인천광역시 중구 송월동3가 3-157,인천광역시 중구 송월동3가 3-157,37.47816,126.62113
71,해송전망대카페,인천광역시 중구 남북동 16-33,인천광역시 중구 남북동 16-33,37.4499857,126.41187
72,펫38도씨,인천광역시 중구 운남동 22-4,인천광역시 중구 운남동 22-4,37.4882202,126.5334971
73,지하다방,인천광역시 중구 인현동 84-1,인천광역시 중구 인현동 84-1,37.47503,126.63179
74,커피에 반하다 공항신도시점,인천광역시 중구 운서동 2796-1,인천광역시 중구 운서동 2796-1,37.48447,126.48626
75,32파르페&카페,인천광역시 중구 신포동 10-1,인천광역시 중구 신포동 10-1,37.467314099999996,126.62087413613884
76,마시랑 빵카페,인천광역시 중구 덕교동 615-5,인천광역시 중구 덕교동 615-5,37.43512,126.41899
77,빽다방동인천역점,인천광역시 중구 인현동 20-1,인천광역시 중구 인현동 20-1,37.47503,126.63179
78,홍익갤러리,인천광역시 중구 중산동 1885-1,인천광역시 중구 중산동 1885-1,37.49627,126.5583
79,타임플러스,인천광역시 중구 운서동 3060-24,인천광역시 중구 운서동 3060-24,37.4515417,126.4512778
80,컴포즈 영종 운남점,인천광역시 중구 운남동 1515-4,인천광역시 중구 운남동 1515-4,37.4882202,126.5334971
81,카페나예(cafe Naye),인천광역시 중구 선린동 32-4,인천광역시 중구 선린동 32-4,37.47464,126.61855
82,겨자씨 꽃카페(M.Seed COFFEE & FLOWER),인천광역시 중구 항동7가 27-119,인천광역시 중구 항동7가 27-119,37.45443,126.61033
83,(주)동원홈푸드 한국면세점협회 카페및매점점,인천광역시 중구 운서동 3168-1,인천광역시 중구 운서동 3168-1,37.48447,126.48626
84,씨제이프레시웨이(주)파라다이스시티,인천광역시 중구 운서동 2874,인천광역시 중구 운서동 2874,37.48447,126.48626
85,DALL커피,인천광역시 중구 신흥동3가 7-308,인천광역시 중구 신흥동3가 7-308,37.44814,126.62876
86,이디야 운남중앙점,인천광역시 중구 운남동 1515-8,인천광역시 중구 운남동 1515-8,37.4882202,126.5334971
87,아토커피,인천광역시 중구 북성동2가 12-30,인천광역시 중구 북성동2가 12-30,37.4771996,126.6187996
88,할리스커피,인천광역시 중구 중산동 1876-9,인천광역시 중구 중산동 1876-9,37.49627,126.5583
89,느호,인천광역시 중구 송학동3가 7-9,인천광역시 중구 송학동3가 7-9,37.47338,126.62572
90,Breath.30,인천광역시 중구 운서동 2850-7,인천광역시 중구 운서동 2850-7,37.48447,126.48626
91,커피엔티크,인천광역시 중구 용동 238-7,인천광역시 중구 용동 238-7,37.47323,126.63101
92,스타벅스 영종도운서역점,인천광역시 중구 운서동 2804-3,인천광역시 중구 운서동 2804-3,37.494018249999996,126.49266820030469
93,G-까페,인천광역시 중구 운서동 3170-8,인천광역시 중구 운서동 3170-8,37.48447,126.48626
94,우물옆그집,인천광역시 중구 송월동3가 3-37,인천광역시 중구 송월동3가 3-37,37.47816,126.62113
95,STN COFFEE(에스티엔 커피),인천광역시 중구 운서동 2850,인천광역시 중구 운서동 2850,37.48447,126.48626
96,cup of coffee(컵오브커피 차이나타운점),인천광역시 중구 북성동2가 9-4,인천광역시 중구 북성동2가 9-4,37.4771996,126.6187996
97,(주)달콤커피 동성주유소점,인천광역시 중구 신흥동3가 34,인천광역시 중구 신흥동3가 34,37.44814,126.62876
98,막내네,인천광역시 중구 인현동 84-1,인천광역시 중구 인현동 84-1,37.47503,126.63179
99,체이스커피(chase coffee),인천광역시 중구 운서동 3063-1,인천광역시 중구 운서동 3063-1,37.48447,126.48626
100,커피온니(COFFEE 온니),인천광역시 중구 항동7가 60,인천광역시 중구 항동7가 60,37.45443,126.61033
101,카페일리오,인천광역시 중구 운서동 3114-7,인천광역시 중구 운서동 3114-7,37.48447,126.48626
102,플로스 로비라운지,인천광역시 중구 운서동 2877,인천광역시 중구 운서동 2877,37.48447,126.48626
103,더선셋카페(The sunset cafe),인천광역시 중구 북성동3가 4-11,인천광역시 중구 북성동3가 4-11,37.47616,126.62091
104,티파니,인천광역시 중구 무의동 852,인천광역시 중구 무의동 852,37.38999,126.41902
105,풍경이있는커피,인천광역시 중구 항동7가 58-50,인천광역시 중구 항동7가 58-50,37.45443,126.61033
106,이디야 월미도점,인천광역시 중구 북성동1가 98-446,인천광역시 중구 북성동1가 98-446,0.0,0.0
107,엔제리너스 인천공항 T2 3F점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
108,엔제리너스 인천공항 T2 B1점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
109,(주)커피빈코리아 인천공항제2여객터미널입국점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
110,더벤티 영종도운서역점,인천광역시 중구 운서동 2803-1,인천광역시 중구 운서동 2803-1,37.48447,126.48626
111,카페사푼사푼 인천공항점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
112,스타벅스 인천공항T2입국,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
113,스타벅스 인천공항T2출국,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
114,스타벅스 인천공항T2에어,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
115,크리스피크림 인천공항T2점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
116,크리스피크림 인천공항T2에어점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
117,공차 인천공항4호점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
118,공차 인천공항5호점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
119,에어카페 T2,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
120,자작나무숲,인천광역시 중구 운서동 2091-104,인천광역시 중구 운서동 2091-104,37.4588028,126.4487361
121,투썸플레이스 인천공항여객터미널점,인천광역시 중구 운서동 2840,인천광역시 중구 운서동 2840,37.48447,126.48626
122,실버카페하늘마루(인천중구노인인력개발센터),인천광역시 중구 운서동 2851,인천광역시 중구 운서동 2851,37.48447,126.48626
123,블루틴(bluetin),인천광역시 중구 을왕동 773-70,인천광역시 중구 을왕동 773-70,37.45259,126.38318
124,탐앤탐스 왕산점,인천광역시 중구 을왕동 810-98,인천광역시 중구 을왕동 810-98,37.45259,126.38318
125,브라운핸즈 개항로,인천광역시 중구 경동 232-10,인천광역시 중구 경동 232-10,37.47209,126.63188
126,스무디킹 인천공항점,인천광역시 중구 운서동 2840,인천광역시 중구 운서동 2840,37.48447,126.48626
127,동화마을 더치로드카페,인천광역시 중구 송월동3가 11-33,인천광역시 중구 송월동3가 11-33,37.47816,126.62113
128,공차 인천국제공항1호점,인천광역시 중구 운서동 2840,인천광역시 중구 운서동 2840,37.48447,126.48626
129,마리앙로제,인천광역시 중구 송월동1가 13-69,인천광역시 중구 송월동1가 13-69,37.47986,126.62348
