,Unnamed: 0.1,Unnamed: 0,도서관유형,도서관명,동,위도,경도
0,0,0,공공도서관,노원어린이도서관,중계4동,37.65795038,127.07638
1,1,1,공공도서관,노원중앙도서관,상계9동,37.66109973,127.0650094
2,2,2,공공도서관,불암도서관,중계본동,37.64528936,127.0825433
3,3,3,공공도서관,상계도서관,상계1동,37.67852767,127.0519406
4,4,4,공공도서관,서울특별시교육청노원평생학습관,"중계2,3동",37.63953995,127.067837
5,5,5,공공도서관,월계도서관,월계2동,37.62863532,127.0561218
6,6,6,공공도서관,월계어린이도서관,월계2동,37.62426736,127.0507933
7,7,7,공공도서관,하계어린이도서관,하계2동,37.63610414,127.0724241
8,8,8,공공도서관,화랑도서관,공릉2동,37.62151605,127.0830474
9,9,9,작은도서관,KB국민은행과 함께하는 나무작은도서관,"상계6,7동",37.65383103,127.0601779
10,10,10,작은도서관,가온작은도서관,상계10동,37.6612804,127.0602571
11,11,11,작은도서관,가재울 지혜마루 작은도서관,하계1동,37.64056098,127.0725612
12,12,12,작은도서관,공릉행복발전소공릉도서관,공릉1동,37.62204715,127.0727749
13,13,13,작은도서관,글빛작은도서관,중계본동,37.64796253,127.0808329
14,14,14,작은도서관,금빛도서관,상계2동,37.65727748,127.0707067
15,15,15,작은도서관,꿈꾸는작은도서관,월계1동,37.47176041,127.0881053
16,16,16,작은도서관,노원문화원작은도서관,공릉1동,37.62880091,127.0698024
17,17,17,작은도서관,달내작은도서관,월계2동,37.63251006,127.0507798
18,18,18,작은도서관,도란도란작은도서관,공릉1동,37.45898011,126.9061848
19,19,19,작은도서관,메아리작은도서관,"상계6,7동",37.65303481,127.0579938
20,20,20,작은도서관,바르미작은도서관,"상계6,7동",37.64285692,127.0590194
21,21,21,작은도서관,반디작은도서관,상계8동,37.66673107,127.0515502
22,22,22,작은도서관,북부종합사회복지관 신한카드아름인도서관,상계1동,37.67970594,127.052411
23,23,23,작은도서관,삼육대평생교육원 이야기방 작은도서관,공릉2동,37.64335737,127.1088503
24,24,24,작은도서관,상계숲속작은도서관,상계8동,37.66944103,127.0504411
25,25,25,작은도서관,상계주공14단지아파트문화사랑방도서실,상계9동,37.67045198,127.0574022
26,26,26,작은도서관,솜니움 독서코칭 전문도서관,중계4동,37.6576376,127.0743701
27,27,27,작은도서관,수락작은도서관,"상계3,4동",37.67291209,127.0832369
28,28,28,작은도서관,열린작은도서관,하계2동,37.63203897,127.0679492
29,29,29,작은도서관,원더풀도서관,월계2동,37.62954507,127.0541685
30,30,30,작은도서관,육사작은도서관,공릉2동,37.62058345,127.0902071
31,31,31,작은도서관,작고행복한청구3차도서관,중계1동,37.6500505,127.0733726
32,32,32,작은도서관,중계9단지 반딧불작은도서관,하계1동,37.64344507,127.0733372
33,33,33,작은도서관,중계사랑작은도서관,중계4동,37.6587571,127.0779712
34,34,34,작은도서관,중계종합사회복지관 CAN DO도서관,중계4동,37.65639558,127.0766586
35,35,35,작은도서관,중계주공10단지책과친구들,중계1동,37.64794584,127.0730389
36,36,36,작은도서관,지혜의샘 작은도서관,공릉1동,37.62648618,127.0718679
37,37,37,작은도서관,참사랑평화학교 도서관,하계1동,37.63825411,127.072209
38,38,38,작은도서관,책누리작은도서관,중계본동,37.6477949,127.0802812
39,39,39,작은도서관,책사랑작은도서관,중계1동,37.65255189,127.0774784
40,40,40,작은도서관,책이랑친구랑작은도서관,공릉2동,37.62128738,127.0833787
41,41,41,작은도서관,초안산숲속작은도서관,월계2동,37.63207893,127.0444286
42,42,42,작은도서관,트램작은도서관,공릉2동,37.62425459,127.0932832
43,43,43,작은도서관,파랑새작은도서관,상계2동,37.53097878,127.1496891
44,44,44,작은도서관,푸른숲작은도서관,상계1동,37.6799248,127.054958
45,45,45,작은도서관,하늘작은도서관,"중계2,3동",37.64213007,127.0687317
46,46,46,작은도서관,하늘품작은도서관,상계5동,37.65996921,127.0701066
47,47,47,작은도서관,한길문고,상계2동,37.66140145,127.0661719
48,48,48,작은도서관,한내지혜의숲도서관,월계3동,37.62358744,127.0687821
49,49,49,작은도서관,한내행복발전소 작은도서관 ,월계3동,37.6264442,127.0597204
50,50,50,작은도서관,한울문고,상계1동,37.688162,127.0540801
51,51,51,작은도서관,한울작은도서관,상계9동,37.66451805,127.0638167
52,52,52,작은도서관,해링턴 북토피아 작은도서관,공릉2동,37.62576132,127.0815976
53,53,53,작은도서관,해솔작은도서관,상계5동,37.66297913,127.0693658
54,54,54,작은도서관,향기나무도서관,"중계2,3동",37.64617746,127.06966
